Location,Latitude,Longitude,Time,Temp_F
Maryville MO,40.346102,-94.872471,2023-07-29 16:33:48,77
"Madrid, Spain",40.416775,-3.70379,2023-07-29 16:33:48,74
ELY MN,47.903237,-91.867087,2023-07-29 16:34:48,76
Death Valley CA,36.5323,-116.93,2023-07-29 16:34:48,72
Maryville MO,40.346102,-94.872471,2023-07-29 16:34:48,72
"Madrid, Spain",40.416775,-3.70379,2023-07-29 16:34:48,70
ELY MN,47.903237,-91.867087,2023-07-29 16:35:48,69
Death Valley CA,36.5323,-116.93,2023-07-29 16:35:48,76
Maryville MO,40.346102,-94.872471,2023-07-29 16:35:48,74
"Madrid, Spain",40.416775,-3.70379,2023-07-29 16:35:48,75
